"","city","county","crime_rate_per_100000"
"1","Moline Acres","St. Louis",1791.995377
"2","Lakeshire","St. Louis",1791.995377
"3","Cross Keys","St. Louis",1791.995377
"4","Castle Point","St. Louis",1791.995377
"5","Chesterfield","St. Louis",1791.995377
"6","Flordell Hills","St. Louis",1791.995377
"7","Vinita Terrace","St. Louis",1791.995377
"8","Winchester","St. Louis",1791.995377
"9","Ferguson","St. Louis",1791.995377
"10","Breckenridge Hills","St. Louis",1791.995377
"11","Town and Country","St. Louis",1791.995377
"12","Glendale","St. Louis",1791.995377
"13","Jennings","St. Louis",1791.995377
"14","Pasadena Hills","St. Louis",1791.995377
"15","Wilbur Park","St. Louis",1791.995377
"16","Uplands Park","St. Louis",1791.995377
"17","Sycamore Hills","St. Louis",1791.995377
"18","Keyes Summit","St. Louis",1791.995377
"19","Shoveltown","St. Louis",1791.995377
"20","Bel-Nor","St. Louis",1791.995377
"21","Sunset Hills","St. Louis",1791.995377
"22","Clayton","St. Louis",1791.995377
"23","Charlack","St. Louis",1791.995377
"24","Eureka","St. Louis",1791.995377
"25","Oakville","St. Louis",1791.995377
"26","Pasadena Park","St. Louis",1791.995377
"27","Manchester","St. Louis",1791.995377
"28","Affton","St. Louis",1791.995377
"29","Northwoods","St. Louis",1791.995377
"30","Richmond Heights","St. Louis",1791.995377
"31","Wildwood","St. Louis",1791.995377
"32","Valley Park","St. Louis",1791.995377
"33","Pagedale","St. Louis",1791.995377
"34","Normandy","St. Louis",1791.995377
"35","Cool Valley","St. Louis",1791.995377
"36","Musicks Ferry","St. Louis",1791.995377
"37","Lemay","St. Louis",1791.995377
"38","Ladue","St. Louis",1791.995377
"39","Florissant","St. Louis",1791.995377
"40","Barretts","St. Louis",1791.995377
"41","Fenton","St. Louis",1791.995377
"42","Pine Lawn","St. Louis",1791.995377
"43","Bel-Ridge","St. Louis",1791.995377
"44","Bellefontaine Neighbors","St. Louis",1791.995377
"45","Hillsdale","St. Louis",1791.995377
"46","Calverton Park","St. Louis",1791.995377
"47","Country Life Acres","St. Louis",1791.995377
"48","Concord","St. Louis",1791.995377
"49","Clarkson Valley","St. Louis",1791.995377
"50","Olivette","St. Louis",1791.995377
"51","Rock Hill","St. Louis",1791.995377
"52","Grantwood Village","St. Louis",1791.995377
"53","Norwood Court","St. Louis",1791.995377
"54","Vigus","St. Louis",1791.995377
"55","Vinita Park","St. Louis",1791.995377
"56","Beverly Hills","St. Louis",1791.995377
"57","Creve Coeur","St. Louis",1791.995377
"58","Mackenzie","St. Louis",1791.995377
"59","Saint Johns","St. Louis",1791.995377
"60","Huntleigh","St. Louis",1791.995377
"61","Marlborough","St. Louis",1791.995377
"62","Des Peres","St. Louis",1791.995377
"63","Bellerive Acres","St. Louis",1791.995377
"64","Bella Villa","St. Louis",1791.995377
"65","Crystal Lake Park","St. Louis",1791.995377
"66","Ellisville","St. Louis",1791.995377
"67","Webster Groves","St. Louis",1791.995377
"68","Frontenac","St. Louis",1791.995377
"69","Velda Village","St. Louis",1791.995377
"70","Hanley Hills","St. Louis",1791.995377
"71","Champ","St. Louis",1791.995377
"72","Maplewood","St. Louis",1791.995377
"73","Hazelwood","St. Louis",1791.995377
"74","Warson Woods","St. Louis",1791.995377
"75","Saint Ann","St. Louis",1791.995377
"76","Woodson Terrace","St. Louis",1791.995377
"77","Sappington","St. Louis",1791.995377
"78","Spanish Lake","St. Louis",1791.995377
"79","Robertson","St. Louis",1791.995377
"80","Glasgow Village","St. Louis",1791.995377
"81","Ballwin","St. Louis",1791.995377
"82","Kirkwood","St. Louis",1791.995377
"83","Glen Echo Park","St. Louis",1791.995377
"84","Berkeley","St. Louis",1791.995377
"85","Country Club Hills","St. Louis",1791.995377
"86","Velda Village Hills","St. Louis",1791.995377
"87","Kinloch","St. Louis",1791.995377
"88","Shrewsbury","St. Louis",1791.995377
"89","Crestwood","St. Louis",1791.995377
"90","Westwood","St. Louis",1791.995377
"91","Bridgeton","St. Louis",1791.995377
"92","Riverview","St. Louis",1791.995377
"93","Brentwood","St. Louis",1791.995377
"94","Edmundson","St. Louis",1791.995377
"95","University City","St. Louis",1791.995377
"96","Overland","St. Louis",1791.995377
"97","Wellston","St. Louis",1791.995377
"98","Black Jack","St. Louis",1791.995377
"99","Green Park","St. Louis",1791.995377
"100","Oakland","St. Louis",1791.995377
"101","Mehlville","St. Louis",1791.995377
"102","Mattese","St. Louis",1791.995377
"103","Greendale","St. Louis",1791.995377
"104","Dellwood","St. Louis",1791.995377
"105","Maryland Heights","St. Louis",1791.995377
"106","Twin Oaks","St. Louis",1791.995377
"107","Fort Bellefontaine","St. Louis",1791.995377
"108","Turrell","Crittenden",1754.914968
"109","Clarkedale","Crittenden",1754.914968
"110","West Memphis","Crittenden",1754.914968
"111","Jennette","Crittenden",1754.914968
"112","Sunset","Crittenden",1754.914968
"113","Horseshoe Lake","Crittenden",1754.914968
"114","Marion","Crittenden",1754.914968
"115","Gilmore","Crittenden",1754.914968
"116","Edmondson","Crittenden",1754.914968
"117","Crawfordsville","Crittenden",1754.914968
"118","Earle","Crittenden",1754.914968
"119","Chatfield","Crittenden",1754.914968
"120","Jericho","Crittenden",1754.914968
"121","Anthonyville","Crittenden",1754.914968
"122","McClure","Alexander",1664.700485
"123","Miller City","Alexander",1664.700485
"124","Cairo","Alexander",1664.700485
"125","Tamms","Alexander",1664.700485
"126","Thebes","Alexander",1664.700485
"127","East Cape Girardeau","Alexander",1664.700485
"128","Elco","Alexander",1664.700485
"129","Olive Branch","Alexander",1664.700485
"130","Armstrong","Kenedy",1456.31068
"131","Sarita","Kenedy",1456.31068
"132","Norias","Kenedy",1456.31068
"133","Rudolph","Kenedy",1456.31068
"134","Lochearn","Baltimore",1419.537569
"135","Parkville","Baltimore",1419.537569
"136","Dundalk","Baltimore",1419.537569
"137","Lutherville","Baltimore",1419.537569
"138","Hereford","Baltimore",1419.537569
"139","Chase","Baltimore",1419.537569
"140","Bowleys Quarters","Baltimore",1419.537569
"141","Fork","Baltimore",1419.537569
"142","Mays Chapel","Baltimore",1419.537569
"143","White Marsh","Baltimore",1419.537569
"144","Baldwin","Baltimore",1419.537569
"145","Shawan","Baltimore",1419.537569
"146","Halethorpe","Baltimore",1419.537569
"147","Owings Mills","Baltimore",1419.537569
"148","Towson","Baltimore",1419.537569
"149","Catonsville","Baltimore",1419.537569
"150","Riderwood","Baltimore",1419.537569
"151","Carney","Baltimore",1419.537569
"152","Kingsville","Baltimore",1419.537569
"153","Sweet Air","Baltimore",1419.537569
"154","Shepperd","Baltimore",1419.537569
"155","Pleasant Grove","Baltimore",1419.537569
"156","Rosedale","Baltimore",1419.537569
"157","Perry Hall","Baltimore",1419.537569
"158","Rockdale","Baltimore",1419.537569
"159","Sunnybrook","Baltimore",1419.537569
"160","Arbutus","Baltimore",1419.537569
"161","Harrisonville","Baltimore",1419.537569
"162","Overlea","Baltimore",1419.537569
"163","Cockeysville","Baltimore",1419.537569
"164","Middle River","Baltimore",1419.537569
"165","Monkton","Baltimore",1419.537569
"166","Timonium","Baltimore",1419.537569
"167","Glen Arm","Baltimore",1419.537569
"168","Garrison","Baltimore",1419.537569
"169","Hampton","Baltimore",1419.537569
"170","Pikesville","Baltimore",1419.537569
"171","Milford Mill","Baltimore",1419.537569
"172","Rossville","Baltimore",1419.537569
"173","Milford","Baltimore",1419.537569
"174","White Hall","Baltimore",1419.537569
"175","Woodlawn","Baltimore",1419.537569
"176","Hebbville","Baltimore",1419.537569
"177","Essex","Baltimore",1419.537569
"178","Baltimore Highlands","Baltimore",1419.537569
"179","Edgemere","Baltimore",1419.537569
"180","Randallstown","Baltimore",1419.537569
"181","Lansdowne","Baltimore",1419.537569
"182","Granite","Baltimore",1419.537569
"183","Reisterstown","Baltimore",1419.537569
"184","Manor","Baltimore",1419.537569
"185","Jacksonville","Baltimore",1419.537569
"186","Lakeland","Shelby",1315.003752
"187","Capleville","Shelby",1315.003752
"188","Memphis","Shelby",1315.003752
"189","Arlington","Shelby",1315.003752
"190","Eads","Shelby",1315.003752
"191","Bartlett","Shelby",1315.003752
"192","Millington","Shelby",1315.003752
"193","Rosemark","Shelby",1315.003752
"194","Germantown","Shelby",1315.003752
"195","Cordova","Shelby",1315.003752
"196","Collierville","Shelby",1315.003752
"197","Ellendale","Shelby",1315.003752
"198","McColl","Marlboro",1253.437132
"199","Marlboro","Marlboro",1253.437132
"200","Bennettsville","Marlboro",1253.437132
"201","Tatum","Marlboro",1253.437132
"202","Blenheim","Marlboro",1253.437132
"203","Clio","Marlboro",1253.437132
"204","Wallace","Marlboro",1253.437132
"205","Virginia City","Storey",1217.656012
"206","Washington","District of Columbia",1216.801325
"207","Dillon","Dillon",1165.583272
"208","Floydale","Dillon",1165.583272
"209","Lake View","Dillon",1165.583272
"210","Latta","Dillon",1165.583272
"211","Little Rock","Dillon",1165.583272
"212","Diehlstadt","Scott",1163.145839
"213","Haywood City","Scott",1163.145839
"214","Scott City","Scott",1163.145839
"215","Kelso","Scott",1163.145839
"216","Sikeston","Scott",1163.145839
"217","Commerce","Scott",1163.145839
"218","Illmo","Scott",1163.145839
"219","Morley","Scott",1163.145839
"220","Benton","Scott",1163.145839
"221","Lambert","Scott",1163.145839
"222","Miner","Scott",1163.145839
"223","Blodgett","Scott",1163.145839
"224","Oran","Scott",1163.145839
"225","Vanduser","Scott",1163.145839
"226","Chaffee","Scott",1163.145839
"227","Philadelphia","Philadelphia",1150.29633
"228","Woolsey","Pershing",1148.756725
"229","Humboldt","Pershing",1148.756725
"230","Mill City","Pershing",1148.756725
"231","Trego","Pershing",1148.756725
"232","Imlay","Pershing",1148.756725
"233","Toulon","Pershing",1148.756725
"234","Cosgrave","Pershing",1148.756725
"235","Lovelock","Pershing",1148.756725
"236","Unionville","Pershing",1148.756725
"237","Oreana","Pershing",1148.756725
"238","Ware Shoals","Greenwood",1140.226324
"239","Ninety Six","Greenwood",1140.226324
"240","Verdery","Greenwood",1140.226324
"241","Promised Land","Greenwood",1140.226324
"242","Cokesbury","Greenwood",1140.226324
"243","Coronaca","Greenwood",1140.226324
"244","Hodges","Greenwood",1140.226324
"245","Epworth","Greenwood",1140.226324
"246","Greenwood","Greenwood",1140.226324
"247","Bradley","Greenwood",1140.226324
"248","Troy","Greenwood",1140.226324
"249","Kirksey","Greenwood",1140.226324
"250","Pinson","Madison",1138.42383
"251","Bemis","Madison",1138.42383
"252","Westover","Madison",1138.42383
"253","Medon","Madison",1138.42383
"254","Jackson","Madison",1138.42383
"255","Malesus","Madison",1138.42383
"256","Beech Bluff","Madison",1138.42383
"257","Mercer","Madison",1138.42383
"258","Oakfield","Madison",1138.42383
"259","Three Way","Madison",1138.42383
"260","Forest Hills","Davidson",1129.513728
"261","Lakewood","Davidson",1129.513728
"262","Belle Meade","Davidson",1129.513728
"263","Oak Hill","Davidson",1129.513728
"264","Nashville","Davidson",1129.513728
"265","Berry Hill","Davidson",1129.513728
"266","Goodlettsville","Davidson",1129.513728
"267","Highwoods","Marion",1083.508119
"268","Williams Creek","Marion",1083.508119
"269","Spring Hills","Marion",1083.508119
"270","Warren Park","Marion",1083.508119
"271","Crows Nest","Marion",1083.508119
"272","Castleton","Marion",1083.508119
"273","Meridian Hills","Marion",1083.508119
"274","Southport","Marion",1083.508119
"275","Speedway","Marion",1083.508119
"276","Homecroft","Marion",1083.508119
"277","Clermont","Marion",1083.508119
"278","Cumberland","Marion",1083.508119
"279","Rocky Ripple","Marion",1083.508119
"280","Beech Grove","Marion",1083.508119
"281","Indianapolis","Marion",1083.508119
"282","Lawrence","Marion",1083.508119
"283","North Crows Nest","Marion",1083.508119
"284","Wynnedale","Marion",1083.508119
"285","Wayne","Wayne",1065.188284
"286","Willow","Wayne",1065.188284
"287","Grosse Pointe Shores","Wayne",1065.188284
"288","Milleville Beach","Wayne",1065.188284
"289","Northville","Wayne",1065.188284
"290","Denton","Wayne",1065.188284
"291","Grosse Pointe","Wayne",1065.188284
"292","Roulo","Wayne",1065.188284
"293","Melvindale","Wayne",1065.188284
"294","Westland","Wayne",1065.188284
"295","Highland Park","Wayne",1065.188284
"296","Waltz","Wayne",1065.188284
"297","Hamtramck","Wayne",1065.188284
"298","River Rouge","Wayne",1065.188284
"299","Flat Rock","Wayne",1065.188284
"300","New Boston","Wayne",1065.188284
"301","Trenton","Wayne",1065.188284
"302","Romulus","Wayne",1065.188284
"303","Lincoln Park","Wayne",1065.188284
"304","Livonia","Wayne",1065.188284
"305","Harper Woods","Wayne",1065.188284
"306","Grosse Pointe Woods","Wayne",1065.188284
"307","Gibraltar","Wayne",1065.188284
"308","Southgate","Wayne",1065.188284
"309","Garden City","Wayne",1065.188284
"310","East Rockwood","Wayne",1065.188284
"311","Grosse Pointe Park","Wayne",1065.188284
"312","Edgewater Heights","Wayne",1065.188284
"313","Wyandotte","Wayne",1065.188284
"314","Allen Park","Wayne",1065.188284
"315","Sheldon","Wayne",1065.188284
"316","Rockwood","Wayne",1065.188284
"317","Dearborn","Wayne",1065.188284
"318","Inkster","Wayne",1065.188284
"319","Riverview","Wayne",1065.188284
"320","Taylor","Wayne",1065.188284
"321","Ecorse","Wayne",1065.188284
"322","Detroit","Wayne",1065.188284
"323","Belleville","Wayne",1065.188284
"324","Grosse Pointe Farms","Wayne",1065.188284
"325","Dearborn Heights","Wayne",1065.188284
"326","Cherry Hill","Wayne",1065.188284
"327","Plymouth","Wayne",1065.188284
"328","Woodhaven","Wayne",1065.188284
"329","Lone Jack","Jackson",1026.623686
"330","Sibley","Jackson",1026.623686
"331","Grandview","Jackson",1026.623686
"332","Grain Valley","Jackson",1026.623686
"333","Buckner","Jackson",1026.623686
"334","Independence","Jackson",1026.623686
"335","Oak Grove","Jackson",1026.623686
"336","Levasy","Jackson",1026.623686
"337","Sugar Creek","Jackson",1026.623686
"338","Lake Tapawingo","Jackson",1026.623686
"339","Courtney","Jackson",1026.623686
"340","Kansas City","Jackson",1026.623686
"341","Blue Springs","Jackson",1026.623686
"342","Lees Summit","Jackson",1026.623686
"343","Greenwood","Jackson",1026.623686
"344","Raytown","Jackson",1026.623686
"345","Unity Village","Jackson",1026.623686
"346","River Bend","Jackson",1026.623686
"347","Lake Lotawana","Jackson",1026.623686
"348","Holland","Pemiscot",998.7095326
"349","Bragg City","Pemiscot",998.7095326
"350","Denton","Pemiscot",998.7095326
"351","Hayti Heights","Pemiscot",998.7095326
"352","Peach Orchard","Pemiscot",998.7095326
"353","Hayti","Pemiscot",998.7095326
"354","Deering","Pemiscot",998.7095326
"355","Steele","Pemiscot",998.7095326
"356","Pascola","Pemiscot",998.7095326
"357","Caruthersville","Pemiscot",998.7095326
"358","Homestown","Pemiscot",998.7095326
"359","Cooter","Pemiscot",998.7095326
"360","Gobler","Pemiscot",998.7095326
"361","Wardell","Pemiscot",998.7095326
"362","Hayward","Pemiscot",998.7095326
"363","Braggadocio","Pemiscot",998.7095326
"364","Iron Springs","Pulaski",959.9165823
"365","Marche","Pulaski",959.9165823
"366","Wrightsville","Pulaski",959.9165823
"367","Gibson","Pulaski",959.9165823
"368","Sweet Home","Pulaski",959.9165823
"369","Hensley","Pulaski",959.9165823
"370","North Little Rock","Pulaski",959.9165823
"371","Maumelle","Pulaski",959.9165823
"372","Alexander","Pulaski",959.9165823
"373","Sylvan Hills","Pulaski",959.9165823
"374","Little Rock","Pulaski",959.9165823
"375","Roland","Pulaski",959.9165823
"376","Parkers","Pulaski",959.9165823
"377","Pinnacle","Pulaski",959.9165823
"378","Woodson","Pulaski",959.9165823
"379","Sherwood","Pulaski",959.9165823
"380","Natural Steps","Pulaski",959.9165823
"381","Mabelvale","Pulaski",959.9165823
"382","McAlmont","Pulaski",959.9165823
"383","College Station","Pulaski",959.9165823
"384","Landmark","Pulaski",959.9165823
"385","Cammack Village","Pulaski",959.9165823
"386","Jacksonville","Pulaski",959.9165823
"387","Ferndale","Pulaski",959.9165823
"388","Jefferson","Jefferson",959.1343198
"389","Tamo","Jefferson",959.1343198
"390","Redfield","Jefferson",959.1343198
"391","Tucker","Jefferson",959.1343198
"392","Wabbaseka","Jefferson",959.1343198
"393","Faith","Jefferson",959.1343198
"394","Pine Bluff","Jefferson",959.1343198
"395","White Hall","Jefferson",959.1343198
"396","Cornerstone","Jefferson",959.1343198
"397","Sherrill","Jefferson",959.1343198
"398","Moscow","Jefferson",959.1343198
"399","Altheimer","Jefferson",959.1343198
"400","Kiblah","Miller",956.1771347
"401","Genoa","Miller",956.1771347
"402","Mandeville","Miller",956.1771347
"403","Doddridge","Miller",956.1771347
"404","Fouke","Miller",956.1771347
"405","Garland","Miller",956.1771347
"406","Texarkana","Miller",956.1771347
"407","Fort Gibson","Muskogee",954.4400666
"408","Council Hill","Muskogee",954.4400666
"409","Briartown","Muskogee",954.4400666
"410","Warner","Muskogee",954.4400666
"411","Keefton","Muskogee",954.4400666
"412","Haskell","Muskogee",954.4400666
"413","Boynton","Muskogee",954.4400666
"414","Braggs","Muskogee",954.4400666
"415","Wainwright","Muskogee",954.4400666
"416","Summit","Muskogee",954.4400666
"417","Webbers Falls","Muskogee",954.4400666
"418","Muskogee","Muskogee",954.4400666
"419","Oktaha","Muskogee",954.4400666
"420","Porum","Muskogee",954.4400666
"421","Simms","Muskogee",954.4400666
"422","Taft","Muskogee",954.4400666
"423","Kline","Barnwell",953.9310095
"424","Barnwell","Barnwell",953.9310095
"425","Elko","Barnwell",953.9310095
"426","Snelling","Barnwell",953.9310095
"427","Hilda","Barnwell",953.9310095
"428","Williston","Barnwell",953.9310095
"429","Blackville","Barnwell",953.9310095
"430","Nichols","Marion",941.6313295
"431","Mullins","Marion",941.6313295
"432","Gresham","Marion",941.6313295
"433","Sellers","Marion",941.6313295
"434","Marion","Marion",941.6313295
"435","Rains","Marion",941.6313295
"436","Pee Dee","Marion",941.6313295
"437","Centenary","Marion",941.6313295
"438","Acree","Dougherty",930.4176661
"439","Putney","Dougherty",930.4176661
"440","Albany","Dougherty",930.4176661
"441","Tatums","Carter",930.0694974
"442","Healdton","Carter",930.0694974
"443","Wilson","Carter",930.0694974
"444","Gene Autry","Carter",930.0694974
"445","Ratliff City","Carter",930.0694974
"446","Ardmore","Carter",930.0694974
"447","Dickson","Carter",930.0694974
"448","Lone Grove","Carter",930.0694974
"449","Fox","Carter",930.0694974
"450","Springer","Carter",930.0694974
"451","Beecher","Genesee",922.7783984
"452","Montrose","Genesee",922.7783984
"453","Mount Morris","Genesee",922.7783984
"454","Swartz Creek","Genesee",922.7783984
"455","Fenton","Genesee",922.7783984
"456","Flushing","Genesee",922.7783984
"457","Gaines","Genesee",922.7783984
"458","Linden","Genesee",922.7783984
"459","Goodrich","Genesee",922.7783984
"460","Grand Blanc","Genesee",922.7783984
"461","Otisville","Genesee",922.7783984
"462","Argentine","Genesee",922.7783984
"463","Flint","Genesee",922.7783984
"464","Genesee","Genesee",922.7783984
"465","Clio","Genesee",922.7783984
"466","Davison","Genesee",922.7783984
"467","Burton","Genesee",922.7783984
"468","Lake Fenton","Genesee",922.7783984
"469","Fort Davis","Macon",919.341731
"470","Hardaway","Macon",919.341731
"471","Notasulga","Macon",919.341731
"472","Shorter","Macon",919.341731
"473","Tuskegee","Macon",919.341731
"474","Milstead","Macon",919.341731
"475","Franklin","Macon",919.341731
"476","Society Hill","Macon",919.341731
"477","Bayside","Milwaukee",912.6349471
"478","Shorewood","Milwaukee",912.6349471
"479","Greenfield","Milwaukee",912.6349471
"480","Greendale","Milwaukee",912.6349471
"481","Hales Corners","Milwaukee",912.6349471
"482","River Hills","Milwaukee",912.6349471
"483","Cudahy","Milwaukee",912.6349471
"484","West Milwaukee","Milwaukee",912.6349471
"485","South Milwaukee","Milwaukee",912.6349471
"486","Saint Francis","Milwaukee",912.6349471
"487","West Allis","Milwaukee",912.6349471
"488","Fox Point","Milwaukee",912.6349471
"489","Glendale","Milwaukee",912.6349471
"490","Milwaukee","Milwaukee",912.6349471
"491","Whitefish Bay","Milwaukee",912.6349471
"492","Oak Creek","Milwaukee",912.6349471
"493","Brown Deer","Milwaukee",912.6349471
"494","Franklin","Milwaukee",912.6349471
"495","Wauwatosa","Milwaukee",912.6349471
"496","Columbia","Richland",911.4452882
"497","Ravenwood","Richland",911.4452882
"498","Dentsville","Richland",911.4452882
"499","Hopkins","Richland",911.4452882
"500","Ballentine","Richland",911.4452882
"501","Woodfield","Richland",911.4452882
"502","Blythewood","Richland",911.4452882
"503","Horrel Hill","Richland",911.4452882
"504","Wateree","Richland",911.4452882
"505","Boyden Arbor","Richland",911.4452882
"506","Arcadia Lakes","Richland",911.4452882
"507","Eastover","Richland",911.4452882
"508","Gadsden","Richland",911.4452882
"509","Forest Acres","Richland",911.4452882
"510","Gruetli-Laager","Grundy",911.2461105
"511","Tracy City","Grundy",911.2461105
"512","Coalmont","Grundy",911.2461105
"513","Pelham","Grundy",911.2461105
"514","Palmer","Grundy",911.2461105
"515","Beersheba Springs","Grundy",911.2461105
"516","Altamont","Grundy",911.2461105
"517","Union","Greene",903.4766697
"518","Boligee","Greene",903.4766697
"519","Forkland","Greene",903.4766697
"520","Knoxville","Greene",903.4766697
"521","Clinton","Greene",903.4766697
"522","Eutaw","Greene",903.4766697
"523","Magnolia","Rock",892.8571429
"524","Beaver Creek","Rock",892.8571429
"525","Hills","Rock",892.8571429
"526","Kenneth","Rock",892.8571429
"527","Hardwick","Rock",892.8571429
"528","Luverne","Rock",892.8571429
"529","Kanaranzi","Rock",892.8571429
"530","Steen","Rock",892.8571429
"531","Waterloo","San Joaquin",887.1644385
"532","Lodi","San Joaquin",887.1644385
"533","Farmington","San Joaquin",887.1644385
"534","Tracy","San Joaquin",887.1644385
"535","Thornton","San Joaquin",887.1644385
"536","August","San Joaquin",887.1644385
"537","Acampo","San Joaquin",887.1644385
"538","Morada","San Joaquin",887.1644385
"539","Country Club","San Joaquin",887.1644385
"540","Peters","San Joaquin",887.1644385
"541","Stockton","San Joaquin",887.1644385
"542","Victor","San Joaquin",887.1644385
"543","Escalon","San Joaquin",887.1644385
"544","Kennedy","San Joaquin",887.1644385
"545","Terminous","San Joaquin",887.1644385
"546","Ripon","San Joaquin",887.1644385
"547","Manteca","San Joaquin",887.1644385
"548","Woodbridge","San Joaquin",887.1644385
"549","Lockeford","San Joaquin",887.1644385
"550","Mountain House","San Joaquin",887.1644385
"551","Lathrop","San Joaquin",887.1644385
"552","Garden Acres","San Joaquin",887.1644385
"553","Dogtown","San Joaquin",887.1644385
"554","Linden","San Joaquin",887.1644385
"555","Lincoln Village","San Joaquin",887.1644385
"556","Collierville","San Joaquin",887.1644385
"557","French Camp","San Joaquin",887.1644385
"558","Hancock","Pottawattamie",873.5225606
"559","Bentley","Pottawattamie",873.5225606
"560","Avoca","Pottawattamie",873.5225606
"561","Loveland","Pottawattamie",873.5225606
"562","McClelland","Pottawattamie",873.5225606
"563","Underwood","Pottawattamie",873.5225606
"564","Carter Lake","Pottawattamie",873.5225606
"565","Gilliatt","Pottawattamie",873.5225606
"566","Weston","Pottawattamie",873.5225606
"567","Minden","Pottawattamie",873.5225606
"568","Carson","Pottawattamie",873.5225606
"569","Treynor","Pottawattamie",873.5225606
"570","Council Bluffs","Pottawattamie",873.5225606
"571","Walnut","Pottawattamie",873.5225606
"572","Oakland","Pottawattamie",873.5225606
"573","Macedonia","Pottawattamie",873.5225606
"574","Neola","Pottawattamie",873.5225606
"575","Crescent","Pottawattamie",873.5225606
"576","Blackwell","Nolan",871.1844118
"577","Roscoe","Nolan",871.1844118
"578","Wastella","Nolan",871.1844118
"579","Maryneal","Nolan",871.1844118
"580","Sweetwater","Nolan",871.1844118
"581","Tesco","Nolan",871.1844118
"582","New Milford","Winnebago",854.9331535
"583","Pecatonica","Winnebago",854.9331535
"584","Rockton","Winnebago",854.9331535
"585","Roscoe","Winnebago",854.9331535
"586","South Beloit","Winnebago",854.9331535
"587","Seward","Winnebago",854.9331535
"588","Machesney Park","Winnebago",854.9331535
"589","Loves Park","Winnebago",854.9331535
"590","Harlem","Winnebago",854.9331535
"591","Latham Park","Winnebago",854.9331535
"592","Cherry Valley","Winnebago",854.9331535
"593","North Park","Winnebago",854.9331535
"594","Lake Summerset","Winnebago",854.9331535
"595","Winnebago","Winnebago",854.9331535
"596","Durand","Winnebago",854.9331535
"597","Rockford","Winnebago",854.9331535
"598","Boston","Suffolk",831.2342903
"599","Revere","Suffolk",831.2342903
"600","Chelsea","Suffolk",831.2342903
"601","Zilwaukee","Saginaw",828.830479
"602","Frankenmuth","Saginaw",828.830479
"603","Buena Vista","Saginaw",828.830479
"604","Chesaning","Saginaw",828.830479
"605","Birch Run","Saginaw",828.830479
"606","Oakley","Saginaw",828.830479
"607","Shields","Saginaw",828.830479
"608","Hemlock","Saginaw",828.830479
"609","Saginaw","Saginaw",828.830479
"610","Bridgeport","Saginaw",828.830479
"611","Indiantown","Saginaw",828.830479
"612","Merrill","Saginaw",828.830479
"613","Freeland","Saginaw",828.830479
"614","Burt","Saginaw",828.830479
"615","Saint Charles","Saginaw",828.830479
"616","Valley Grande","Dallas",828.6503477
"617","Selmont","Dallas",828.6503477
"618","Selma","Dallas",828.6503477
"619","Safford","Dallas",828.6503477
"620","Orrville","Dallas",828.6503477
"621","Marion Junction","Dallas",828.6503477
"622","West Selmont","Dallas",828.6503477
"623","Burnsville","Dallas",828.6503477
"624","Tyler","Dallas",828.6503477
"625","Minter","Dallas",828.6503477
"626","Sardis","Dallas",828.6503477
"627","Hazen","Dallas",828.6503477
"628","Plantersville","Dallas",828.6503477
"629","Atlanta","Fulton",826.1767583
"630","Crabapple","Fulton",826.1767583
"631","Webb","Fulton",826.1767583
"632","Johns Creek","Fulton",826.1767583
"633","Alpharetta","Fulton",826.1767583
"634","Palmetto","Fulton",826.1767583
"635","Fairburn","Fulton",826.1767583
"636","Arnold Mill","Fulton",826.1767583
"637","Union City","Fulton",826.1767583
"638","Newtown","Fulton",826.1767583
"639","Sandy Springs","Fulton",826.1767583
"640","Chattahoochee Hills","Fulton",826.1767583
"641","Ocee","Fulton",826.1767583
"642","Campbellton","Fulton",826.1767583
"643","South Fulton","Fulton",826.1767583
"644","East Point","Fulton",826.1767583
"645","College Park","Fulton",826.1767583
"646","Red Oak","Fulton",826.1767583
"647","Mountain Park","Fulton",826.1767583
"648","Milton","Fulton",826.1767583
"649","Roswell","Fulton",826.1767583
"650","Hapeville","Fulton",826.1767583
"651","Warsaw","Fulton",826.1767583
"652","Pinetta","Madison",822.2981632
"653","Sirmans","Madison",822.2981632
"654","Lovett","Madison",822.2981632
"655","Hanson","Madison",822.2981632
"656","Lee","Madison",822.2981632
"657","Madison","Madison",822.2981632
"658","Greenville","Madison",822.2981632
"659","Wabash","Phillips",818.6675817
"660","Elaine","Phillips",818.6675817
"661","Lexa","Phillips",818.6675817
"662","Poplar Grove","Phillips",818.6675817
"663","Postelle","Phillips",818.6675817
"664","Helena-West Helena","Phillips",818.6675817
"665","Helena","Phillips",818.6675817
"666","Lundell","Phillips",818.6675817
"667","West Helena","Phillips",818.6675817
"668","Marvell","Phillips",818.6675817
"669","Cypert","Phillips",818.6675817
"670","Barton","Phillips",818.6675817
"671","Oneida","Phillips",818.6675817
"672","Lambrook","Phillips",818.6675817
"673","Sherman","Sangamon",817.9969369
"674","Pleasant Plains","Sangamon",817.9969369
"675","Chatham","Sangamon",817.9969369
"676","Illiopolis","Sangamon",817.9969369
"677","Thayer","Sangamon",817.9969369
"678","Mechanicsburg","Sangamon",817.9969369
"679","Pawnee","Sangamon",817.9969369
"680","Riverton","Sangamon",817.9969369
"681","Spaulding","Sangamon",817.9969369
"682","Williamsville","Sangamon",817.9969369
"683","Berlin","Sangamon",817.9969369
"684","Leland Grove","Sangamon",817.9969369
